#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,bc,"is used for a dropdown calculator."
,arandr,"allows the user to customize monitor arrangements."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,sxiv,"is a minimalist image viewer."
,feh,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,onefetch,"shows git repository data"
,htop,"shows processes"
,neofetch,"fancy os thingy"
,i3-gaps,"a fork of i3 with gap support"
,gnome-flashback,"minimal gnome stuff"
A,i3-gnome-flashback,"i3 desktop entry"
,gnome-system-monitor,"gnome GUI system monitor"
,firefox,"browster"
,vlc,"media player"
,i3blocks,"status bar"
,rofi,"dmenu like utility"
A,picom-ibhagwan-git,"picom compositor fork, removes screen tear and can provide border-radius and opacity"
,netowork-manager-applet,"network manager applet"
,gdm,"gnome's display manager"
,telegram-desktop,"messaging application"
,wget,"download stuff"
A,spotify,"music player"
A,visual-studio-code-insiders-bin,"vscode insiders - code editor"
,alacritty,"terminal of choice"
,xorg,"x server"
,gnome-control-center,"gnome settings app"
,gnome-twekas,"gnome tweaks"
,bat,"colorful alternative to cat"
,gnome-boxes,"gnome's VM app"
,imagemagick,"to manipulate images"
,jq,"i3blocks script dependency"
,lm_sensors,"i3blocks script dependency"
,npm,"node package manager"
,ranger,"terminal file manager"
,tree,"terminal file utility"
,nautilus,"gnome gui file manager"
,gnome-screenshot,"gnome screenshot utility"
,gnome-power-manager,"gnome power manager"
,gnome-disk-utility,"gnome disk utility"
,playerctl,"cli media control/other utility"
,acpi,"i3blocks script dependency"
,xprop,"i3blocks script dependency"
